indice_tiempo,superficie_sembrada_maiz_ha,superficie_cosechada_maiz_ha,produccion_maiz_t,rendimiento_maiz_kgxha
1923,3435430,,7030000,
1924,3707700,2911768,4732235,1625
1925,4297000,3898912,8170000,2096
1926,4289000,3666650,8150000,2223
1927,4346000,3641826,7915000,2173
1928,4788000,3652577,6411529,1755
1929,5647400,4220000,7128068,1689
1930,5575000,4685250,10660000,2275
1931,5855000,3851690,7603391,1974
1932,5884000,3793355,6801404,1793
1933,6514000,4112030,6525960,1587
1934,7028870,5702400,11480000,2013
1935,7630000,5119245,10051206,1963
1936,6091250,4361100,8640220,1981
1937,6065884,3125453,4424000,1415
1938,5300000,3501970,4864000,1389
1939,7200000,5695000,10375000,1822
1940,6097600,4932300,10238000,2076
1941,5000000,4088700,9033600,2209
1942,4138540,1767370,1943180,1099
1943,4412450,3700380,8730000,2359
1944,4017300,2054450,2965500,1443
1945,3950826,2614733,3574190,1367
1946,3612157,2600386,5814695,2236
1947,3319210,2584201,5200000,2012
1948,2690800,2036140,3450000,1694
1949,2156200,941980,836400,888
1950,2439000,1713800,2670000,1558
1951,2531805,1431235,2040000,1425
1952,3354260,2355627,3550000,1507
1953,3268000,2414393,4450000,1843
1954,3001500,1862800,2546000,1367
1955,2887900,2240259,3870000,1727
1956,2740400,1957450,2698000,1378
1957,2860000,2447750,4806000,1963
1958,2894000,2361280,4932000,2089
1959,3062000,2414580,4108000,1701
1960,3222000,2744400,4850000,1767
1961,3300000,2756670,5220000,1894
1962,3420000,2645400,4360000,1648
1963,3778000,2970500,5350000,1801
1964,3692985,3062300,5140000,1678
1965,3921300,3274500,7040000,2150
1966,4156500,3450500,8510000,2466
1967,4473400,3377700,6560000,1942
1968,4595400,3556000,6860000,1929
1969,4663760,4015602,9358372,2331
1970,4990990,4063996,9928194,2443
1971,4437630,3145971,5858318,1862
1972,4249455,3564285,9698405,2721
1973,4132500,3484950,9898570,2840
1974,3869850,3069150,7698750,2508
1975,3694900,2765200,5854090,2117
1976,2978900,2531120,8298552,3279
1977,3099200,2659300,9698550,3647
1978,3299350,2799500,8699080,3107
1979,3309450,2489600,6399220,2570
1980,3999550,3393700,12899150,3801
1981,3694650,3169650,9599125,3028
1982,3439500,2969500,8999000,3030
1983,3483100,3023900,9497390,3141
1984,3619900,3339900,11899730,3563
1985,3819800,3230800,12099500,3745
1986,3649880,2899880,9249730,3190
1987,2824894,2437394,9199690,3774
1988,2684800,1683550,4899620,2910
1989,2069820,1560149,5399580,3461
1990,2159700,1899700,7683800,4045
1991,2684000,2363940,10696000,4525
1992,2960820,2501110,10895500,4356
1993,2780580,2444240,10357200,4237
1994,2957200,2521250,11402541,4523
1995,3414350,2603520,10517630,4040
1996,4153200,3410185,15536120,4556
1997,3751630,3185390,19360655,6078
1998,3270050,2514450,13503400,5370
1999,3651900,3088715,16780650,5433
2000,3494523,2815504,15359397,5455
2001,3061661,2420124,14712080,6079
2002,3060374,2300857,15002219,6520
2003,2962400,2307602,14818788,6422
2004,3403837,2783436,20482572,7359
2005,3190440,2447166,14445538,5903
2006,3578235,2838072,21755365,7666
2007,4238329,3413784,22026803,6452
2008,3501328,2362508,13134436,5560
2009,3671260,2904035,22663096,7804
2010,4561101,3747838,23799830,6350
2011,5000330,3696300,21196637,5735
2012,6133378,4863801,32119211,6604
2013,6098885,4836655,33087165,6841
2014,6034480,4626880,33817449,7309
2015,6904538,5346593,39792854,7443
2016,8486694,6536763,49490326,7571
2017,9139766,7138620,43462323,6088
2018,9039594,7232761,56860704,7862
2019,9504473,7730506,58395811,7554
